APK Name,Eye,Head,Environment,Hand,Body,Face
320_生存国度Survival_Nation_0.2.18cn_Survival_Nation_0.2.18cn_FNAL,0,0,0,0,0,0
321_由纪YUKI_1.1.3.242_FNAL(5.3.x),11,1,7,42,14,0
322_疯狂功夫Crazy_KungFu_0.93.10_FNAL,2,19,4,70,13,1
323_疯狂卡丁车Touring_Karts_PRO_1.996_FNAL(5.3.x),7,35,1,134,138,48
324_疯狂过山车（有com文件夹）_Epic_Rollercoasters_8.5.2_FNAL(1),4,18,8,53,11,17
325_疯狂过山车（有com文件夹）_Epic_Rollercoasters_8.5.2_FNAL,4,18,8,53,11,17
326_皮鞭手枪(5.6.x)_Pistol_Whip_1.5.60.246_FNAL,5,19,7,58,43,3
327_监狱大佬Prison_Boss_VR_1.6.0.19_VTX(5.3.x),1,3,0,27,0,0
329_码头游戏厅Pierhead_Arcade_2_3.0.7_FNAL(5.3.x),0,2,4,74,1,5
330_码头游艺厅2 PierheadArcade2_3.07_HTS,0,2,4,74,1,5
331_社交VR MageCosmos_0.4.6,77,52,13,160,71,0
332_祖玛ZOOMA_VR_1.1.4_699_VTX(5.3.x),0,2,4,8,0,0
333_神圣决斗Divine_Duel_1.0.539_FNAL,-1,-1,-1,-1,-1,-1
335_神秘博士时间的边缘Doctor_Who_1.0_FNAL(5.3.x),69,17,6,179,49,4
336_私人订制Personal_Tailor_1.4.0_(CN)_FNAL,0,0,0,4,0,0
337_私人财产（有com文件夹）_Private_Property_1.1.1_FNAL,5,13,14,69,23,8
338_秒死Dead_Second_0.70_秒死Dead_Second_0.70,22,11,6,90,56,19
339_移动云vr CMCC_Cloud_VR_2.2.4.2_(CN)_FNAL,42,73,34,67,10,6
341_立体拼图_BlockPuzzle_0.6.2,69,7,7,8,1,0
342_第五件遗留物The_Fifth_Remnant_1.3.1_(CN)_FNAL,6,13,9,161,103,1
343_筑梦海岸Shores_of_Loci_1.2_FAVTX(5.3.x),0,0,2,8,2,1
344_精灵刺客  Elven_Assassin_1.7.1_FNAL_Elven_Assassin_1.7.1_FNAL,0,17,16,84,15,4
348_纸鹤Paper_Birds_1.4_纸鹤Paper_Birds_1.4,8,0,12,51,6,0
352_维爱智元Wei_Ai_Zhiyuan_1.0.0_(CN)_FNAL,72,43,14,111,8,5
353_绿色地狱（有com文件夹）_绿色地狱Green_Hell_1.0.3,3,9,1,217,22,6
354_网球模拟器 第一人称网球(5.6.x)_First_Person_Tennis_4.1_FNAL,8,0,10,9,8,0
355_美食岛大胃王Kitchen_Island_VR_1.15_16_VTX(5.3.x),81,44,11,27,22,2
356_自然迷踪Nature_Treks_1.19_19_VTX(5.3.x),67,15,13,47,44,13
357_致命节奏（有com文件夹）_AGAINST_base.cracked,2,14,0,71,18,0
358_舞Hime：节奏连消Dance_Hime-Rhythmic_elimination_1.0.4_FNAL,6,11,3,13,9,2
359_舞力对决DanceCollider_1.1_VTX(5.3.x),103,35,2,3,25,4
360_舞动双剑Wave_Your_Blade_In_Dance_3.1_FNAL,0,4,0,1,4,0
361_航行(5.6.x)_SAIL_1.0.20j_FNAL_SAIL_1.0.20j_FNAL,6,12,7,137,35,2
362_色彩连连看ColorConnectVR_2.0.39_VTX(5.3.x),1,0,1,4,0,0
363_艺术脉动ArtPulse_0.3.3_FNAL(5.3.x),65,17,10,97,46,2
364_节奏健身PowerBeatsVR_3.4.0_R4646_FNAL(5.3.x),1,7,6,30,7,5
365_节奏健身岛Groove_Fit_Island_1.1.0p7_FNAL,7,42,2,230,7,25
366_节奏拳击Song_Beater_4.3.5_FNAL(5.3.x),66,7,15,18,4,1
368_节奏萌音BoomBox_3.0.8_FNAL,0,2,1,34,4,0
